ERROR 2025-11-04 16:17:19,769 user_events Connection error: 
INFO 2025-11-04 18:17:58,748 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:18:45,282 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:19:31,829 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:20:18,468 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:21:05,602 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:21:52,621 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:22:39,341 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:23:26,012 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:24:12,580 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:24:59,551 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:25:46,726 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:26:33,270 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:27:19,823 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:28:06,402 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:28:53,012 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:29:39,465 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:30:26,102 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:31:12,710 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:31:59,287 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:32:45,912 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:33:32,501 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:34:19,520 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:35:06,041 django.server "GET /openapi.json HTTP/1.1" 200 3587
